node_name,ogt_full_signal,ogt_presence_only_signal
AABM5X1(0),43.971775,40.38216
AABM5X2(1),52.29042,56.253685
AABM5X3(2),62.213223,59.092213
Abys1(3),38.657158,24.809128
Acid1(4),30.587358,33.516438
Acid10(5),55.197815,44.756653
Acid11(6),27.181707,32.335102
Acid12(7),56.47364,58.734177
Acid13(8),58.22267,59.846207
Acid14(9),30.049637,32.307915
Acid16(10),60.917473,66.43628
Acid17(11),33.768272,28.629776
Acid18(12),63.362988,59.798653
Acid2(13),39.6974,39.29078
Acid20(14),28.467924,24.633436
Acid21(15),55.278015,47.564117
Acid22(16),65.12254,62.59854
Acid23(17),31.775122,34.71465
Acid24(18),43.509026,48.497425
Acid25(19),51.69581,45.765327
Acid26(20),31.869616,31.679052
Acid27(21),31.903793,23.920147
Acid28(22),49.221252,51.71481
Acid29(23),33.814125,32.005974
Acid3(24),29.088226,27.991573
Acid30(25),32.841923,41.297756
Acid31(26),30.502869,29.625105
Acid32(27),57.531506,56.802475
Acid33(28),64.24239,64.14635
Acid34(29),30.245419,20.682316
Acid35(30),23.643902,32.63592
Acid36(31),31.554037,26.527784
Acid37(32),25.451923,34.26827
Acid38(33),26.129248,23.329567
Acid39(34),23.176254,32.11517
Acid4(35),36.414917,35.191483
Acid40(36),29.554127,20.966242
Acid5(37),29.861137,34.70237
Acid6(38),32.865196,33.750748
Acid7(39),24.362627,30.595068
Acid8(40),46.833843,53.1406
Acid9(41),39.456726,40.81438
Acti10(42),26.701347,29.132158
Acti11(43),45.747,37.23813
Acti12(44),27.950518,30.65139
Acti13(45),43.370537,45.871014
Acti14(46),32.045372,28.497757
Acti15(47),52.460304,57.587727
Acti16(48),37.530037,35.885555
Acti18(49),37.341454,35.694103
Acti19(50),33.68814,34.008778
Acti2(51),40.214,36.010887
Acti20(52),57.944656,55.73827
Acti21(53),26.720654,29.308922
Acti22(54),60.956966,64.24272
Acti23(55),37.003143,42.019386
Acti24(56),39.225388,46.88081
Acti25(57),31.706707,30.149569
Acti26(58),33.015163,30.809464
Acti27(59),42.727764,41.64988
Acti28(60),29.26957,31.015368
Acti29(61),48.821262,58.515915
Acti3(62),24.799667,34.059097
Acti30(63),56.820038,50.121834
Acti31(64),34.48628,34.390285
Acti32(65),26.733126,31.737646
Acti33(66),35.62373,37.96888
Acti34(67),33.7817,31.126013
Acti35(68),27.14258,24.589046
Acti36(69),28.43994,27.078018
Acti37(70),26.497265,28.52219
Acti38(71),27.662004,28.200806
Acti39(72),54.71069,52.12313
Acti4(73),48.83556,43.550026
Acti40(74),29.996456,29.882685
Acti41(75),49.102,59.03762
Acti42(76),35.64526,43.871616
Acti43(77),27.469406,29.954237
Acti44(78),29.520346,30.52184
Acti45(79),37.193993,39.43589
Acti46(80),29.743149,42.10763
Acti47(81),23.963179,33.780994
Acti48(82),25.72399,29.884989
Acti49(83),27.76044,35.125423
Acti5(84),30.354034,32.929325
Acti50(85),34.00381,31.286236
Acti51(86),42.928326,40.360546
Acti52(87),30.10003,34.146515
Acti6(88),27.680187,35.573616
Acti7(89),28.665487,29.486023
Acti8(90),38.031166,39.886707
Acti9(91),55.307854,60.000366
Aero1(92),49.70787,50.135723
Aqui1(93),67.233246,65.48481
Aqui2(94),65.52543,68.758385
Aqui3(95),66.50325,66.46233
Aqui4(96),70.06929,67.53026
Aqui5(97),62.38432,62.121418
Aqui6(98),73.04427,66.09581
Arma11(99),70.591705,72.708115
Arma12(100),36.20512,27.926996
Arma13(101),64.66047,55.55747
Arma14(102),55.547596,57.124146
Arma15(103),64.64271,60.939217
Arma16(104),51.12602,55.272823
Arma3(105),36.20805,38.977448
Arma4(106),52.003647,54.0209
Arma6(107),31.48072,34.353596
Arma7(108),59.61158,57.024464
Arma9(109),60.347023,66.4383
Aure1(110),60.152145,60.14434
Aure2(111),37.99402,39.69399
Aure3(112),48.28858,46.455524
B130X1(113),60.182026,61.007084
BMS3X1(114),41.45962,37.422733
Bact1(115),44.158855,33.733112
Bact10(116),52.943134,47.118336
Bact11(117),48.924454,45.15101
Bact12(118),40.160038,40.780193
Bact13(119),39.035076,28.94656
Bact14(120),37.771503,33.435513
Bact16(121),35.11152,39.44181
Bact17(122),32.975044,30.732397
Bact18(123),57.098248,59.753407
Bact19(124),26.193151,23.885624
Bact2(125),30.158314,35.216633
Bact20(126),33.135067,29.687042
Bact21(127),37.996567,29.565126
Bact22(128),35.586887,37.0314
Bact23(129),46.20343,46.261105
Bact24(130),53.92914,55.987183
Bact25(131),31.755573,38.77156
Bact27(132),35.510254,29.776493
Bact28(133),32.323334,39.29482
Bact29(134),30.875307,28.867983
Bact3(135),34.313507,34.868317
Bact30(136),33.899906,28.929737
Bact31(137),35.780407,40.71157
Bact32(138),41.382195,37.01774
Bact33(139),38.47137,44.066196
Bact34(140),34.380424,28.066784
Bact35(141),30.338154,30.736649
Bact36(142),25.656559,20.664616
Bact37(143),30.473225,31.643473
Bact38(144),37.552647,35.141705
Bact39(145),62.99559,65.51303
Bact4(146),35.46139,28.89681
Bact40(147),31.73346,31.201632
Bact41(148),34.796535,29.280088
Bact42(149),30.804716,26.58089
Bact43(150),30.911882,29.344185
Bact44(151),32.909367,27.561373
Bact5(152),33.761875,29.595533
Bact6(153),35.773304,38.638462
Bact7(154),66.62823,68.312546
Bact8(155),65.28699,63.452335
Bact9(156),30.264585,28.931837
Bdell10(157),52.69914,45.073093
Bdell11(158),31.783693,30.80578
Bdell12(159),22.536291,21.83981
Bdell13(160),29.131544,32.18299
Bdell14(161),32.85962,33.85998
Bdell15(162),33.865414,33.60719
Bdell16(163),31.119635,28.851013
Bdell17(164),31.613966,27.00227
Bdell2(165),48.39749,46.4248
Bdell3(166),26.841633,32.524124
Bdell4(167),35.07126,32.74115
Bdell5(168),29.593197,29.700775
Bdell6(169),31.15246,38.57374
Bdell7(170),34.99366,32.110367
Bdell9(171),27.008787,32.418774
BdellC1(172),47.26737,61.24721
BdellC2(173),43.827183,34.6425
Bipo1(174),47.753757,49.196934
Bipo2(175),62.35771,65.22912
CG267X1(176),34.92323,33.333958
CG294X1(177),36.692234,36.778694
CSP1X1(178),47.001152,44.269722
Calda1(179),50.370525,45.86179
Calda2(180),45.61733,48.808865
Caldit1(181),59.555504,57.127235
Caldit2(182),73.82508,72.14599
Caldit3(183),44.4141,53.973244
Camp1(184),34.915768,34.7269
Camp10(185),32.397205,40.15346
Camp11(186),38.659184,36.278656
Camp12(187),48.693462,47.76899
Camp13(188),28.725266,30.16405
Camp14(189),36.454784,34.181377
Camp15(190),34.2851,32.133522
Camp16(191),30.363022,27.405458
Camp2(192),32.313885,31.48463
Camp3(193),48.73329,54.70807
Camp4(194),30.010153,19.717562
Camp5(195),43.785755,44.69467
Camp6(196),53.634792,49.562363
Camp7(197),36.00087,40.03846
Camp9(198),40.23893,48.877377
Chlo10(199),49.226665,44.330307
Chlo11(200),48.419838,55.19509
Chlo12(201),33.317787,30.529188
Chlo13(202),46.280445,57.54511
Chlo14(203),56.640152,60.090065
Chlo15(204),50.1894,60.33639
Chlo16(205),45.691273,54.144222
Chlo17(206),33.729275,34.05604
Chlo18(207),50.297348,47.126034
Chlo19(208),36.995472,34.670673
Chlo20(209),60.484833,59.911427
Chlo21(210),36.457066,34.845543
Chlo22(211),51.89273,67.07863
Chlo23(212),55.790302,67.1212
Chlo24(213),41.042442,39.919033
Chlo25(214),41.71074,32.7585
Chlo26(215),39.48174,48.586227
Chlo27(216),45.72068,53.071064
Chlo28(217),52.05223,57.017334
Chlo29(218),34.172764,40.849045
Chlo30(219),44.532063,52.26573
Chlo31(220),39.553936,33.060146
Chlo32(221),37.163464,43.013824
Chlo33(222),66.371,70.37885
Chlo34(223),34.19117,45.157314
Chlo35(224),30.911625,37.562275
Chlo36(225),46.94438,41.328716
Chlo37(226),49.197716,58.72378
Chlo38(227),36.456715,37.243847
Chlo39(228),26.5256,29.274342
Chlo4(229),38.524048,35.420258
Chlo40(230),38.258698,42.834747
Chlo41(231),28.94912,31.25355
Chlo42(232),54.208782,58.92511
Chlo43(233),67.46198,67.54897
Chlo44(234),35.745792,36.257572
Chlo45(235),46.778233,51.764732
Chlo46(236),45.556084,56.215885
Chlo47(237),40.23893,46.11932
Chlo48(238),46.90894,50.72096
Chlo5(239),24.41866,40.236973
Chlo6(240),43.945877,56.597584
Chlo7(241),48.426483,58.8156
Chlo8(242),58.760593,60.356964
Chlo9(243),60.01274,63.042984
Chry1(244),31.240166,33.147224
Cloa1(245),52.745373,56.572266
Cyan1(246),37.487686,34.79515
Cyan10(247),27.088997,31.83241
Cyan11(248),50.329197,51.949467
Cyan12(249),45.564495,37.511078
Cyan13(250),45.598648,37.929096
Cyan14(251),30.227427,39.266033
Cyan15(252),32.162624,39.696667
Cyan16(253),36.833504,35.237106
Cyan18(254),35.056267,33.497513
Cyan19(255),30.169567,34.1869
Cyan2(256),25.19251,37.60411
Cyan20(257),31.782658,32.465034
Cyan21(258),27.658745,24.818752
Cyan22(259),30.47722,29.21658
Cyan23(260),29.17644,29.324846
Cyan24(261),27.366392,30.023788
Cyan25(262),28.881042,31.40961
Cyan26(263),32.51283,39.516094
Cyan27(264),33.1502,32.60885
Cyan28(265),33.596626,36.939346
Cyan29(266),36.178406,39.1907
Cyan3(267),29.370695,36.75572
Cyan30(268),30.908056,32.052124
Cyan31(269),30.14612,29.085611
Cyan32(270),25.757772,36.46443
Cyan33(271),32.19743,29.500628
Cyan34(272),32.077385,35.91736
Cyan35(273),29.633032,31.445854
Cyan36(274),33.12848,33.140133
Cyan37(275),31.45906,33.782932
Cyan38(276),47.742496,47.47567
Cyan4(277),45.165348,47.754528
Cyan40(278),31.363892,30.58555
Cyan41(279),26.200378,35.192432
Cyan42(280),35.151012,46.079205
Cyan43(281),30.339022,29.310673
Cyan44(282),28.223326,29.090067
Cyan45(283),25.962282,35.184574
Cyan46(284),29.802103,32.31232
Cyan47(285),27.84293,27.955427
Cyan7(286),25.399715,23.93138
Cyan8(287),35.63717,31.082144
Cyan9(288),47.90827,37.44894
DTU0X1(289),60.744446,60.99377
Defe1(290),32.039703,32.845673
Defe2(291),45.87507,48.548096
Defe3(292),43.931946,44.859848
Dein1(293),60.277863,56.304928
Dein2(294),36.137592,52.17045
Dein3(295),51.24198,46.330757
Dein4(296),36.50347,40.474224
Dein5(297),65.57672,62.49657
Dein6(298),35.390335,48.553978
Dein7(299),57.825413,63.650684
Desa1(300),49.33518,60.061737
DesuB1(301),34.12228,31.623583
DesuB2(302),34.049652,28.31986
DesuB3(303),31.552288,35.854996
DesuB4(304),34.55634,32.80385
DesuC1(305),37.956318,32.64346
DesuC2(306),35.7357,45.753593
DesuD1(307),40.118034,35.92665
DesuD2(308),31.648521,26.71449
Desua1(309),46.747936,42.408993
Desua10(310),36.22871,40.159042
Desua11(311),42.73715,35.43542
Desua12(312),31.637701,35.1863
Desua13(313),56.54886,50.56319
Desua14(314),31.972012,32.557148
Desua15(315),52.372765,54.112514
Desua16(316),39.5884,39.221462
Desua17(317),40.297295,37.57957
Desua18(318),37.11615,33.201984
Desua19(319),43.015884,41.78861
Desua2(320),36.782772,32.489254
Desua20(321),34.819138,34.49618
Desua21(322),32.119133,33.030132
Desua22(323),56.240356,47.29026
Desua23(324),52.64984,49.128033
Desua24(325),38.949825,36.30666
Desua25(326),40.150974,35.62914
Desua26(327),39.338207,44.20462
Desua27(328),36.569794,37.555202
Desua28(329),36.60636,35.784775
Desua29(330),28.02776,29.576283
Desua3(331),62.84146,63.142303
Desua30(332),34.17154,38.98526
Desua31(333),36.992172,43.768692
Desua32(334),61.9158,61.852386
Desua33(335),34.63253,32.026672
Desua34(336),47.34687,38.61678
Desua35(337),52.86697,46.745487
Desua36(338),34.598347,32.31026
Desua37(339),34.024315,36.992386
Desua38(340),34.029106,28.78983
Desua39(341),34.488625,32.317177
Desua4(342),36.509907,33.4278
Desua40(343),61.468906,60.262054
Desua41(344),29.146544,28.245537
Desua42(345),39.786953,36.53844
Desua43(346),31.654589,32.574226
Desua44(347),37.58005,28.115883
Desua45(348),70.710365,70.361626
Desua46(349),34.608864,42.505363
Desua47(350),32.62364,29.818758
Desua48(351),34.738792,34.143642
Desua49(352),36.673176,39.53148
Desua5(353),38.55519,41.112118
Desua50(354),40.522987,34.61323
Desua51(355),34.824074,37.19256
Desua52(356),34.1075,31.559782
Desua53(357),32.3546,33.36902
Desua54(358),37.937515,31.417967
Desua6(359),42.47173,48.317253
Desua7(360),38.471786,45.571423
Desua8(361),29.610527,37.05871
Desua9(362),38.453217,36.51697
Dict1(363),72.96534,74.29471
Dorm1(364),38.61065,40.075626
Dorm2(365),42.90639,46.866657
Dorm3(366),51.42187,58.21012
Dorm4(367),53.9212,60.472523
Dorm5(368),45.91298,44.973106
Edwa1(369),40.863197,31.288345
Eise1(370),38.003437,29.87861
Eise2(371),31.240553,36.532063
Eise3(372),36.46301,40.11362
Eise4(373),27.767633,33.748466
Elus1(374),48.544632,53.898518
Elus10(375),34.23143,29.108301
Elus2(376),60.849953,54.22794
Elus3(377),29.1184,31.976358
Elus4(378),35.160835,30.636162
Elus5(379),41.9239,42.93793
Elus6(380),36.715435,29.051619
Elus7(381),31.108786,27.880798
Elus8(382),27.856098,29.495161
Elus9(383),28.128876,31.742645
Erem2(384),37.044525,31.263577
Erem3(385),50.10192,44.29793
Erem4(386),47.425495,30.226347
Erem5(387),35.60133,32.022827
Erem6(388),38.515953,32.16221
FCPU1(389),40.82501,29.153496
FCPU2(390),38.617428,29.674137
Ferm1(391),45.727688,50.50891
Fibr1(392),35.928555,33.33992
Fibr2(393),31.931025,29.310436
Fibr3(394),32.70507,36.472393
Fibr4(395),27.380936,34.29138
Fibr5(396),36.403122,35.219654
Fibr6(397),33.445995,28.270834
Fire1(398),31.187643,31.892952
FirmA1(399),39.15534,36.50862
FirmA10(400),36.21475,33.978302
FirmA100(401),35.752117,33.28457
FirmA101(402),59.921986,54.04939
FirmA102(403),31.663805,37.210247
FirmA103(404),35.950325,33.760063
FirmA104(405),30.143238,32.906017
FirmA105(406),33.402042,37.731106
FirmA106(407),37.47819,38.921394
FirmA107(408),44.669296,44.281094
FirmA108(409),44.889797,47.678135
FirmA109(410),40.24239,42.26487
FirmA11(411),54.085052,47.400383
FirmA110(412),32.323475,33.01839
FirmA111(413),68.61049,68.652374
FirmA112(414),32.527744,28.72862
FirmA113(415),53.701595,49.361767
FirmA114(416),31.954319,30.861938
FirmA12(417),33.7392,40.30075
FirmA14(418),33.082127,40.07085
FirmA16(419),55.95257,47.058342
FirmA18(420),33.002193,35.21106
FirmA19(421),33.234604,35.830826
FirmA2(422),42.15108,44.73052
FirmA20(423),31.640783,32.73998
FirmA21(424),33.658264,38.707954
FirmA24(425),42.086773,40.85844
FirmA25(426),32.422882,33.792564
FirmA26(427),37.080456,43.999744
FirmA27(428),31.814743,28.573427
FirmA28(429),47.319138,53.503727
FirmA29(430),34.81508,33.159985
FirmA30(431),31.201084,34.080524
FirmA31(432),49.72891,42.15581
FirmA32(433),62.110825,59.498898
FirmA33(434),37.083126,33.476467
FirmA34(435),39.906555,47.521328
FirmA35(436),45.719883,44.679134
FirmA36(437),32.403103,34.84894
FirmA37(438),53.253647,51.85212
FirmA38(439),40.01232,43.06112
FirmA39(440),34.326344,27.722351
FirmA40(441),31.160719,32.884953
FirmA41(442),57.82174,56.722015
FirmA42(443),38.12335,33.519615
FirmA43(444),33.826733,32.438442
FirmA44(445),39.69346,41.44243
FirmA45(446),32.603306,35.848312
FirmA46(447),44.653503,41.358543
FirmA47(448),37.56632,41.015995
FirmA48(449),62.254005,63.92675
FirmA49(450),34.46201,34.916107
FirmA5(451),38.026104,46.906246
FirmA50(452),30.888462,29.046005
FirmA51(453),33.269512,32.620125
FirmA52(454),30.710026,32.217022
FirmA53(455),43.64509,48.26529
FirmA54(456),58.771835,59.062447
FirmA55(457),36.17832,32.928726
FirmA56(458),49.572124,45.78992
FirmA57(459),37.833508,36.746784
FirmA58(460),37.250664,33.091602
FirmA59(461),50.52909,47.50068
FirmA6(462),37.719845,36.13966
FirmA60(463),55.580738,57.05035
FirmA61(464),50.50794,48.421753
FirmA62(465),35.64091,34.7488
FirmA63(466),33.252766,37.05262
FirmA64(467),35.4128,34.406178
FirmA65(468),30.360874,35.520638
FirmA66(469),48.090595,47.673737
FirmA67(470),35.07244,36.880714
FirmA68(471),42.15099,46.757343
FirmA69(472),32.885506,31.196308
FirmA7(473),28.09755,31.922525
FirmA70(474),33.865517,42.129448
FirmA71(475),31.127773,31.948366
FirmA72(476),44.20881,40.68847
FirmA73(477),35.242302,35.352844
FirmA74(478),64.07494,62.10293
FirmA75(479),35.962463,32.81477
FirmA76(480),41.68134,46.25793
FirmA77(481),46.031296,41.21178
FirmA78(482),36.247723,34.503216
FirmA79(483),25.889553,29.838589
FirmA8(484),40.027935,35.591217
FirmA80(485),33.85225,36.426506
FirmA81(486),56.822803,56.61364
FirmA83(487),35.288414,38.588436
FirmA84(488),32.832478,34.507927
FirmA85(489),39.78071,44.95928
FirmA86(490),47.686813,53.354397
FirmA87(491),34.78127,37.482895
FirmA88(492),59.013535,59.8392
FirmA89(493),31.567343,34.452473
FirmA9(494),35.485275,36.43257
FirmA90(495),31.093573,30.421406
FirmA91(496),38.122887,43.60273
FirmA92(497),55.53713,57.125034
FirmA93(498),35.72986,33.91201
FirmA94(499),31.006283,34.471584
FirmA95(500),38.01122,30.242191
FirmA96(501),36.8515,36.197124
FirmA97(502),37.50479,35.210144
FirmA98(503),35.04225,36.955673
FirmA99(504),27.430742,33.284218
FirmB1(505),50.128796,48.394276
FirmB10(506),45.58378,39.5017
FirmB11(507),30.98998,36.133476
FirmB12(508),42.667286,38.794872
FirmB13(509),53.997597,47.702225
FirmB14(510),59.13646,58.956593
FirmB15(511),64.168434,58.75476
FirmB16(512),57.356136,59.43194
FirmB17(513),60.14706,62.760555
FirmB2(514),36.667473,36.821438
FirmB3(515),47.14492,47.730175
FirmB4(516),68.88013,62.14317
FirmB5(517),39.556194,36.31176
FirmB6(518),62.20892,58.686153
FirmB7(519),57.302124,59.55025
FirmB8(520),35.68695,36.888676
FirmB9(521),48.771282,49.962486
FirmC1(522),33.318676,33.226234
FirmC10(523),37.213776,37.064484
FirmC11(524),29.558567,32.44185
FirmC12(525),29.748404,33.766197
FirmC13(526),37.739815,38.091644
FirmC14(527),30.535368,37.99664
FirmC15(528),29.750183,35.026764
FirmC16(529),56.243202,50.645718
FirmC17(530),33.178703,31.51374
FirmC18(531),35.394386,40.38497
FirmC19(532),32.113407,34.716984
FirmC3(533),34.40816,37.743004
FirmC4(534),30.231623,41.28378
FirmC5(535),43.32403,38.669506
FirmC6(536),36.15945,33.34263
FirmC7(537),32.90534,30.688295
FirmC8(538),32.494984,35.476364
FirmC9(539),37.46755,36.750725
FirmD1(540),49.23701,44.961754
FirmD2(541),44.694664,57.506615
FirmD3(542),39.67701,43.22431
FirmD4(543),52.798977,50.48805
FirmE1(544),42.696808,47.82045
FirmE2(545),43.82969,35.796112
FirmE3(546),60.218235,65.05954
FirmE4(547),61.296722,51.238335
FirmE5(548),39.739296,34.065437
FirmE6(549),57.80865,50.41957
FirmE7(550),61.345238,62.93508
FirmE8(551),67.819695,69.41369
FirmF1(552),51.37436,37.839798
FirmF2(553),48.00878,44.22945
FirmF3(554),50.881493,39.881866
FirmG1(555),46.15713,49.83782
FirmG2(556),44.736813,38.50897
FirmG3(557),58.394688,61.099873
FirmG4(558),50.582203,57.104683
FirmG5(559),50.67745,56.311546
FirmG6(560),58.998676,60.128525
Firms1(561),65.42942,65.869095
Firms10(562),62.958908,67.305786
Firms11(563),36.84588,36.989723
Firms12(564),48.47884,51.02468
Firms13(565),59.62477,50.64861
Firms15(566),34.894005,35.622856
Firms16(567),35.217957,37.271946
Firms17(568),37.683678,33.526257
Firms18(569),52.976467,56.615067
Firms2(570),36.941425,28.280867
Firms20(571),49.84557,50.64913
Firms21(572),36.044926,38.05206
Firms22(573),35.055824,34.36241
Firms23(574),32.234283,31.48467
Firms24(575),38.114956,39.577965
Firms25(576),38.167,47.23349
Firms26(577),56.512573,50.526638
Firms27(578),41.546253,42.6035
Firms28(579),38.099224,36.87978
Firms29(580),53.870358,50.95726
Firms3(581),51.53759,46.509426
Firms30(582),27.881374,28.988438
Firms31(583),32.5309,25.411854
Firms32(584),30.94222,38.166542
Firms33(585),46.857006,39.27416
Firms4(586),54.153763,49.965347
Firms5(587),41.365036,36.935448
Firms6(588),36.158596,34.154194
Firms7(589),51.729057,52.710552
Firms8(590),58.551105,58.612823
Firms9(591),28.822369,31.089968
Fuso2(592),34.50075,30.371778
Gemm2(593),32.06432,36.14141
Gemm3(594),49.59357,43.235172
Gemm4(595),30.947832,34.976196
